,Interjections
0,Aah
1,Ah
2,Aha
3,Ahem
4,Alas
5,Argh
6,"Aw, Aww"
7,Bah
8,Behold
9,Bingo
10,Boo
11,Bravo
12,Brr
13,Dear
14,Duh
15,Eek
16,Eh
17,Er
18,Eww
19,Gah
20,Gee
21,Grr
22,Hah
23,Hmm
24,"Hello, Hullo"
25,Hey
26,Hi
27,Huh
28,Humph
29,Hurrah
30,Meh
31,Mhm
32,Muahaha
33,Nuh-uh
34,Oh
35,Ooh-la-la
36,Ooh
37,Oomph
38,Oops
39,Oww
40,Ouch
41,Oy
42,Pew
43,Pff
44,Phew
45,Psst
46,Sheesh
47,Shh
48,Shoo
49,Tsk-tsk
50,Uh-hu
51,Uh-oh
52,Uh-uh
53,Uhh
54,"Um, Umm"
55,Wee
56,Well
57,Whoa
58,Wow
59,Yahoo
60,Yay
61,Yeah
62,Yikes
63,Yippee
64,Yoo-hoo
65,Yuh-uh
66,Yuck
67,Zing
